('2Hw', 9067, 137.0, 625.0, 906.36, 2.0537226277372262)
('9v6', 39318, 899.0, 70.0, 88.04, 0.020066740823136826)
('78g', 28329, 50.0, 88.0, 123.66, 0.7132)
('7yy', 31623, 482.0, 177.0, 237.03, 0.12454356846473029)
('Ilr', 74456, 496.0, 646.0, 859.82, 0.43108870967741947)
('HHO', 68568, 982.0, 482.0, 804.48, 0.3283910386965377)
('Grw', 66901, 663.0, 147.0, 229.76, 0.12482654600301658)
('7nX', 30903, 344.0, 94.0, 142.88, 0.14209302325581394)
('61f', 23918, 151.0, 912.0, 1426.89, 3.4098675496688746)
('7oI', 30951, 224.0, 929.0, 1552.4, 2.7830357142857145)
('KSW', 81176, 399.0, 187.0, 272.74, 0.2148872180451128)
('ALc', 41051, 594.0, 830.0, 1414.51, 0.984023569023569)
('5M_', 21293, 424.0, 562.0, 743.8, 0.42877358490566025)
('3eh', 14470, 833.0, 935.0, 1527.2, 0.7109243697478992)
('Duw', 55183, 477.0, 265.0, 420.13, 0.3252201257861635)
('JTu', 77294, 874.0, 675.0, 1123.74, 0.5134324942791763)
('FVU', 61518, 418.0, 951.0, 1616.82, 1.592870813397129)
('52V', 20002, 318.0, 1007.0, 1523.04, 1.6227672955974841)
('Aow', 42898, 848.0, 91.0, 134.53, 0.051332547169811324)
('Abc', 42059, 292.0, 938.0, 1461.79, 1.7938013698630135)
('CU5', 49523, 69.0, 427.0, 542.73, 1.6772463768115944)
('EEw', 56506, 488.0, 763.0, 1174.78, 0.843811475409836)
('L9o', 83966, 339.0, 759.0, 1317.1, 1.6463126843657814)
('31H', 11987, 850.0, 49.0, 78.6, 0.0348235294117647)
('CNz', 49138, 623.0, 239.0, 312.93, 0.1186677367576244)
('A5C', 40017, 516.0, 872.0, 1099.21, 0.44032945736434115)
('OVv', 8216, 353.0, 447.0, 696.84, 0.7077620396600568)
('Dop', 54798, 920.0, 531.0, 901.12, 0.402304347826087)
('K0B', 79391, 787.0, 566.0, 816.66, 0.3185006353240152)
('Fgp', 62232, 127.0, 925.0, 1472.59, 4.311732283464567)
('73b', 28009, 924.0, 739.0, 1171.51, 0.46808441558441555)
('4cw', 18328, 1068.0, 112.0, 140.2, 0.026404494382022463)
('Jef', 77972, 605.0, 1029.0, 1696.44, 1.1032066115702481)
('Ccz', 50083, 617.0, 191.0, 246.91, 0.09061588330632091)
('K2o', 79556, 376.0, 943.0, 1194.6, 0.6691489361702125)
('NgZ', 4918, 320.0, 685.0, 1039.57, 1.1080312499999998)
('OKe', 7506, 891.0, 371.0, 605.51, 0.2631986531986532)
('7u2', 31313, 244.0, 553.0, 797.17, 1.0006967213114752)
('O0g', 6248, 461.0, 935.0, 1496.44, 1.2178741865509763)
('HkB', 70382, 317.0, 890.0, 1471.89, 1.8356151419558362)
('Fva', 63162, 269.0, 511.0, 748.0, 0.8810408921933085)
('9sF', 39138, 414.0, 276.0, 373.05, 0.2344202898550725)
('BV6', 45618, 960.0, 1067.0, 1761.15, 0.7230729166666667)
('71p', 27897, 240.0, 963.0, 1414.78, 1.8824166666666666)
('92q', 35899, 294.0, 418.0, 601.87, 0.6254081632653061)
('Gqw', 66838, 247.0, 526.0, 775.48, 1.0100404858299596)
('Kq', 1312, 365.0, 637.0, 800.34, 0.44750684931506857)
('7D2', 28604, 861.0, 168.0, 252.45, 0.09808362369337978)
('AKd', 40989, 452.0, 1011.0, 1288.18, 0.6132300884955754)
('NuY', 5799, 250.0, 2.0, 3.45, 0.0058000000000000005)
('Lw1', 87004, 387.0, 63.0, 108.38, 0.1172609819121447)
('4vh', 19510, 147.0, 861.0, 1358.41, 3.38374149659864)
('Jk6', 78315, 1023.0, 429.0, 710.17, 0.2748484848484848)
('6Pu', 25445, 977.0, 1014.0, 1500.13, 0.4975742067553737)
('Mfh', 894, 1001.0, 1060.0, 1488.94, 0.42851148851148857)
('I9B', 72020, 355.0, 216.0, 282.9, 0.18845070422535204)
('Fum', 63111, 578.0, 673.0, 988.63, 0.5460726643598616)
('5ed', 22404, 758.0, 512.0, 846.29, 0.4410158311345646)
('IeW', 73994, 446.0, 1046.0, 1370.76, 0.7281614349775785)
('EyN', 59369, 85.0, 474.0, 810.04, 3.9534117647058817)
('76a', 28197, 489.0, 124.0, 181.06, 0.11668711656441719)
('Cyg', 51450, 407.0, 1007.0, 1752.68, 1.8321375921375922)
('BSV', 45454, 627.0, 880.0, 1266.54, 0.6164912280701754)
('9LX', 37077, 54.0, 172.0, 239.15, 1.2435185185185187)
('MKf', 88619, 1062.0, 246.0, 371.53, 0.11820150659133707)
('3Lv', 13287, 496.0, 215.0, 328.37, 0.22856854838709678)
('79Q', 28376, 825.0, 132.0, 185.06, 0.06431515151515152)
('DGb', 52642, 593.0, 110.0, 169.24, 0.09989881956155144)
('KzC', 83235, 724.0, 492.0, 753.39, 0.36103591160220994)
('O3F', 6410, 581.0, 852.0, 1192.24, 0.5856110154905336)
('2k4', 10840, 466.0, 246.0, 429.2, 0.3931330472103004)
('COz', 49201, 396.0, 281.0, 404.16, 0.31101010101010107)
('C4k', 47926, 153.0, 503.0, 650.44, 0.9636601307189546)
('Cz3', 51474, 235.0, 42.0, 65.28, 0.09906382978723405)
('Npn', 5499, 277.0, 666.0, 1086.12, 1.5166787003610105)
('9uG', 39265, 42.0, 581.0, 866.95, 6.8083333333333345)
('DS_', 53423, 257.0, 1018.0, 1559.86, 2.1084046692607)
('AeO', 42234, 253.0, 88.0, 143.31, 0.21861660079051384)
('5O6', 21363, 932.0, 477.0, 606.41, 0.13885193133047208)
('EGI', 56592, 672.0, 484.0, 844.57, 0.5365625)
('Hh9', 70191, 588.0, 292.0, 462.72, 0.2903401360544218)
('8Z8', 33965, 837.0, 528.0, 805.78, 0.33187574671445635)
('2l0', 10899, 913.0, 394.0, 576.16, 0.19951807228915658)
('K73', 79824, 339.0, 162.0, 229.59, 0.19938053097345135)
('NHO', 3332, 815.0, 818.0, 1163.52, 0.42395092024539877)
('LGl', 84404, 16.0, 31.0, 43.7, 0.7937500000000002)
('26D', 8329, 305.0, 1000.0, 1359.04, 1.1771803278688524)
('Nb3', 4571, 701.0, 207.0, 279.24, 0.10305278174037091)
('6iy', 26646, 352.0, 420.0, 727.4, 0.8732954545454544)
('4Ks', 17190, 635.0, 406.0, 541.24, 0.21297637795275592)
('Nbt', 4623, 834.0, 79.0, 120.16, 0.04935251798561151)
('O8E', 6724, 567.0, 338.0, 500.04, 0.28578483245149916)
('MyE', 2062, 766.0, 108.0, 160.24, 0.06819843342036555)
('Lul', 86924, 282.0, 761.0, 982.2, 0.7843971631205675)
('KBf', 80114, 179.0, 500.0, 707.75, 1.160614525139665)
('6K3', 25077, 607.0, 377.0, 605.2, 0.3759472817133444)
('DMf', 53024, 942.0, 166.0, 265.54, 0.10566878980891722)
('M8x', 87881, 888.0, 332.0, 465.24, 0.15004504504504507)
('EBr', 56312, 998.0, 749.0, 1148.6, 0.40040080160320635)
('NlI', 5216, 695.0, 553.0, 790.98, 0.3424172661870504)
